IDJogo;DataHora;PontosCasa;PontosVisitante;IDEstadio;IDTimeCasa;IDTimeFora
1;18/10/2022 23:30;126;117;2;2;23
2;19/10/2022 02:00;123;109;10;10;14
3;19/10/2022 23:00;113;109;9;9;22
4;19/10/2022 23:00;107;114;12;12;30
5;19/10/2022 23:30;117;107;1;1;11
6;19/10/2022 23:30;108;130;3;3;19
7;19/10/2022 23:30;108;116;15;16;5
8;19/10/2022 23:30;108;105;27;28;6
9;19/10/2022 23:30;115;112;14;15;20
10;20/10/2022 00:00;115;108;17;18;21
11;20/10/2022 00:00;102;129;26;27;4
12;20/10/2022 01:00;123;102;28;29;8
13;20/10/2022 02:00;107;105;23;24;7
14;20/10/2022 02:00;108;115;25;26;25
15;20/10/2022 23:30;88;90;22;23;17
16;21/10/2022 02:00;97;103;13;14;13
17;21/10/2022 23:00;112;124;4;4;19
18;21/10/2022 23:00;134;137;12;12;27
19;21/10/2022 23:00;102;100;29;30;5
20;21/10/2022 23:30;108;98;1;1;22
21;21/10/2022 23:30;109;105;3;3;28
22;21/10/2022 23:30;104;111;15;16;2
23;21/10/2022 23:30;130;106;19;20;9
24;22/10/2022 00:00;122;129;11;11;15
25;22/10/2022 00:00;126;132;17;18;29
26;22/10/2022 02:00;123;128;10;10;8
27;22/10/2022 02:00;113;111;24;25;24
28;22/10/2022 22:00;105;114;22;23;27
29;22/10/2022 23:00;124;115;12;12;9
30;22/10/2022 23:00;120;126;21;22;2
31;23/10/2022 00:00;112;109;15;16;28
32;23/10/2022 00:00;96;128;5;5;6
33;23/10/2022 00:00;125;105;16;17;11
34;23/10/2022 00:30;137;96;7;7;15
35;23/10/2022 01:00;122;117;8;8;21
36;23/10/2022 02:00;109;111;25;26;13
37;23/10/2022 19:30;104;106;13;14;25
38;23/10/2022 21:00;109;126;1;1;4
39;23/10/2022 23:00;117;107;6;6;30
40;23/10/2022 23:00;121;122;18;19;29
41;24/10/2022 00:00;106;116;20;21;18
42;24/10/2022 00:30;130;125;10;10;26
43;24/10/2022 02:00;95;112;13;13;24
44;24/10/2022 23:00;120;106;22;23;12
45;24/10/2022 23:30;90;98;15;16;28
46;24/10/2022 23:30;115;102;19;20;22
47;25/10/2022 00:00;120;102;5;5;2
48;25/10/2022 00:00;114;108;11;11;29
49;25/10/2022 00:00;134;124;14;15;3
50;25/10/2022 00:00;106;115;17;18;27
51;25/10/2022 02:00;135;110;24;25;8
52;25/10/2022 23:00;120;99;29;30;9
53;25/10/2022 23:30;113;111;18;19;7
54;26/10/2022 00:00;108;94;20;21;13
55;26/10/2022 02:00;134;105;23;24;10
56;26/10/2022 23:00;103;92;6;6;22
57;26/10/2022 23:00;113;118;9;9;1
58;26/10/2022 23:30;134;131;19;20;4
59;26/10/2022 23:30;119;109;27;28;23
60;26/10/2022 23:30;110;99;16;17;3
61;27/10/2022 00:00;124;109;5;5;12
62;27/10/2022 00:00;134;122;17;18;27
63;27/10/2022 01:00;109;101;28;29;11
64;27/10/2022 02:00;110;99;8;8;14
65;27/10/2022 02:00;98;119;24;25;16
66;27/10/2022 23:30;125;129;3;3;7
67;28/10/2022 00:00;118;110;20;21;13
68;28/10/2022 02:00;123;110;10;10;16
69;28/10/2022 02:00;110;125;25;26;15
70;28/10/2022 23:00;112;136;9;9;1
71;28/10/2022 23:00;113;93;21;22;4
72;28/10/2022 23:30;123;132;2;2;6
73;28/10/2022 23:30;90;112;27;28;23
74;28/10/2022 23:30;117;127;29;30;12
75;29/10/2022 00:00;119;108;16;17;20
76;29/10/2022 00:00;111;102;17;18;14
77;29/10/2022 00:30;129;124;26;27;5
78;29/10/2022 01:00;117;101;8;8;29
79;29/10/2022 02:00;124;111;23;24;19
80;29/10/2022 02:00;125;111;24;25;11
81;29/10/2022 22:00;119;113;25;26;16
82;29/10/2022 23:00;120;113;4;4;10
83;29/10/2022 23:30;116;125;3;3;12
84;30/10/2022 00:00;109;114;5;5;23
85;30/10/2022 00:00;123;115;16;17;1
86;30/10/2022 01:00;111;117;7;7;21
87;30/10/2022 01:00;124;123;28;29;15
88;30/10/2022 19:00;91;112;13;13;19
89;30/10/2022 22:00;112;94;2;2;30
90;30/10/2022 22:00;121;108;6;6;20
91;30/10/2022 22:00;128;114;9;9;10
92;30/10/2022 23:00;107;98;26;27;18
93;30/10/2022 23:30;114;105;7;7;22
94;31/10/2022 01:00;124;109;23;24;11
95;31/10/2022 01:30;121;110;13;14;8
96;31/10/2022 23:00;108;115;4;4;26
97;31/10/2022 23:00;111;118;29;30;23
98;31/10/2022 23:30;116;109;3;3;12
99;31/10/2022 23:30;139;109;27;28;1
100;01/11/2022 00:00;110;108;16;17;9
101;01/11/2022 01:00;121;105;28;29;15
102;01/11/2022 02:30;95;93;13;13;11
103;01/11/2022 23:30;99;108;3;3;5
104;01/11/2022 23:30;116;109;15;16;10
105;02/11/2022 00:00;116;108;20;21;22
106;02/11/2022 02:00;116;107;23;24;18
107;02/11/2022 22:00;111;121;22;23;30
108;02/11/2022 23:30;114;113;6;6;2
109;02/11/2022 23:30;110;107;15;16;26
110;02/11/2022 23:30;99;112;19;20;1
111;03/11/2022 00:00;106;88;5;5;4
112;03/11/2022 00:00;101;109;11;11;13
113;03/11/2022 00:00;116;91;16;17;9
114;03/11/2022 00:00;100;143;26;27;28
115;03/11/2022 00:30;103;100;7;7;29
116;03/11/2022 02:00;106;111;24;25;15
117;03/11/2022 02:30;120;117;13;14;19
118;03/11/2022 23:00;130;129;21;22;10
119;04/11/2022 00:00;110;122;20;21;8
120;04/11/2022 23:00;88;112;9;9;6
121;04/11/2022 23:00;101;99;12;12;16
122;04/11/2022 23:00;104;106;22;23;20
123;04/11/2022 23:00;86;128;29;30;3
124;04/11/2022 23:30;123;119;2;2;5
125;05/11/2022 00:00;130;99;14;15;4
