ID;Nome;Posicao;Altura;Peso;Idade;Camisa;DataNasc;IDTime
1;Frank Kaminsky;F-C;7-0;240 lbs;29;0;4-4-1993;1
2;Jalen Johnson;F;6-8;219 lbs;20;1;18-12-2001;1
3;Trent Forrest;G;6-4;210 lbs;24;2;12-6-1998;1
4;Aaron Holiday;G;6-0;185 lbs;26;3;30-9-1996;1
5;Dejounte Murray;G;6-5;180 lbs;26;5;19-9-1996;1
6;Jarrett Culver;G-F;6-6;195 lbs;23;7;20-2-1999;1
7;Justin Holiday;F-G;6-6;180 lbs;33;8;5-4-1989;1
8;Trae Young;G;6-1;164 lbs;24;11;19-9-1998;1
9;DeAndre Hunter;F-G;6-8;221 lbs;24;12;2-12-1997;1
10;Bogdan Bogdanovic;G;6-5;225 lbs;30;13;18-8-1992;1
11;AJ Griffin;F;6-6;220 lbs;19;14;25-8-2003;1
12;Clint Capela;C;6-10;256 lbs;28;15;18-5-1994;1
13;Onyeka Okongwu;F-C;6-9;240 lbs;21;17;11-12-2000;1
14;John Collins;F-C;6-9;226 lbs;25;20;23-9-1997;1
15;Tyrese Martin;G;6-6;215 lbs;23;22;7-3-1999;1
16;Vit Krejci;G;6-8;195 lbs;22;27;19-6-2000;1
17;Jayson Tatum;F-G;6-8;210 lbs;24;0;3-3-1998;2
18;Noah Vonleh;F;6-10;257 lbs;27;4;24-8-1995;2
19;Jaylen Brown;G-F;6-6;223 lbs;26;7;24-10-1996;2
20;Danilo Gallinari;F;6-10;236 lbs;34;8;8-8-1988;2
21;Derrick White;G;6-4;190 lbs;28;9;2-7-1994;2
22;Payton Pritchard;G;6-1;195 lbs;24;11;28-1-1998;2
23;Grant Williams;F;6-6;236 lbs;23;12;30-11-1998;2
24;Malcolm Brogdon;G;6-4;229 lbs;29;13;11-12-1992;2
25;JD Davison;G;6-1;195 lbs;20;20;3-10-2002;2
26;Mfiondu Kabengele;C;6-10;250 lbs;25;27;14-8-1997;2
27;Sam Hauser;F;6-7;217 lbs;24;30;8-12-1997;2
28;Marcus Smart;G;6-4;220 lbs;28;36;6-3-1994;2
29;Luke Kornet;C-F;7-2;250 lbs;27;40;15-7-1995;2
30;Al Horford;C-F;6-9;240 lbs;36;42;3-6-1986;2
31;Robert Williams III;C-F;6-9;237 lbs;25;44;17-10-1997;2
32;Justin Jackson;F;6-8;220 lbs;27;44;28-3-1995;2
33;Blake Griffin;F;6-9;250 lbs;33;91;16-3-1989;2
34;Royce ONeale;F;6-6;226 lbs;29;0;5-6-1993;3
35;T.J. Warren;F;6-8;220 lbs;29;1;5-9-1993;3
